nom,prix,type,annee,kilometrage,localisation
Kenworth T680,On Request,Other Trucks,2022,Non spécifié,"Rockford,  US"
"Peterbilt 379 Tandem Axle Dump Truck, 16' Material Body",On Request,Dump Trucks,2004,33970,"Denver, Colorado,  US"
Peterbilt 337,Pas de prix,Box trucks,2017,299639,"Morris, Illinois,  US"
Freightliner M2106,Pas de prix,Box trucks,2016,290843,"Morris, Illinois,  US"
"Isuzu FTR 26' Box Truck with 4,400lb Liftgate","96,500 USD",Box trucks,2024,14777,"Denver, Colorado,  US"
"Peterbilt 536 26' Box Truck, 3,300 Lbs. Capacity Liftgate **",On Request,Box trucks,2025,687,"Denver, Colorado,  US"
Kenworth T680,On Request,Other Trucks,2022,Non spécifié,"JX Truck Center - Bolingbrook, IL"
Kenworth T680,On Request,Other Trucks,2022,Non spécifié,"JX Truck Center - Bolingbrook, IL"
"Isuzu NPR-HD 16' Box Truck With 3,300 Lbs. Capacity Lift",On Request,Box trucks,2024,7817,"Denver, Colorado,  US"
Freightliner M2106,Pas de prix,Box trucks,2018,180333,"Morris, Illinois,  US"
"Freightliner M2-106 Crew Cab 24' Box Truck, 2,500 Lbs. Liftgate","37,500 USD",Box trucks,2013,132840,"Denver, Colorado,  US"
Mack GR64BR,On Request,Other Trucks,2027,942,"Nextran Truck Centers - Orlando, FL"
Mack MD6 42R,"64,995 USD",Box trucks,2022,72939,"Nextran Truck Centers - Fort Lauderdale, FL"
Kenworth T 880,On Request,Dump Trucks,2020,146000,"Greer, South Carolina,  US"
International 4300 SBA,Pas de prix,Box trucks,2018,324231,"North East, Maryland,  US"
Chevrolet Express 3500,Pas de prix,Box trucks,2013,Non spécifié,"North East, Maryland,  US"
Freightliner M2106,Pas de prix,Box trucks,2018,240280,"North East, Maryland,  US"
Freightliner M2 106,Pas de prix,Box trucks,2019,138461,"North East, Maryland,  US"
Peterbilt 337,Pas de prix,Flatbed Trucks,2014,280268,"Lake Worth, Texas,  US"
International 4900,Pas de prix,Boom / Crane / Bucket Trucks,1997,72272,"Davenport, Florida,  US"
Freightliner 114SD,Pas de prix,Flatbed Trucks,2017,174429,"Lake Worth, Texas,  US"
AM General M35A3,Pas de prix,Dump Trucks,1993,13225,"Lake Worth, Texas,  US"
Freightliner M2106,Pas de prix,Box trucks,2019,139775,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Boom / Crane / Bucket Trucks,2008,Non spécifié,"Davenport, Florida,  US"
Peterbilt 379,Pas de prix,Dump Trucks,2005,Non spécifié,"Lake Worth, Texas,  US"
International MV607,Pas de prix,Box trucks,2020,354226,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2019,282643,"Lake Worth, Texas,  US"
Isuzu NPR-XD,Pas de prix,Box trucks,2019,83468,"Lake Worth, Texas,  US"
Ford E350,Pas de prix,Box trucks,2021,113766,"Lake Worth, Texas,  US"
Sterling L7500 6x4 Mud Mixing Truck,Pas de prix,Other Trucks,2000,160153,"Lake Worth, Texas,  US"
International 7500,Pas de prix,Tank Trucks,2012,106285,"Lake Worth, Texas,  US"
Freightliner M2 106,Pas de prix,Box trucks,2019,305891,"North East, Maryland,  US"
Marmon 8x4 Tri/A Dump Truck,Pas de prix,Dump Trucks,1989,177528,"Lake Worth, Texas,  US"
Chevrolet C4500,Pas de prix,Box trucks,2003,39463,"Lake Worth, Texas,  US"
FMC Bean 3510 T/A,Pas de prix,Other Trucks,Non spécifiée,Non spécifié,"Lake Worth, Texas,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2020,158630,"Lake Worth, Texas,  US"
Chevrolet C6500,Pas de prix,Box trucks,2004,Non spécifié,"Lake Worth, Texas,  US"
Freightliner M2106,Pas de prix,Boom / Crane / Bucket Trucks,2015,200688,"Davenport, Florida,  US"
Chevrolet C6500,Pas de prix,Box trucks,2004,Non spécifié,"Lake Worth, Texas,  US"
RAM 5500,Pas de prix,Flatbed Trucks,2017,144716,"Lake Worth, Texas,  US"
Hino 268,Pas de prix,Reefer Trucks,2020,164701,"Lake Worth, Texas,  US"
Mack CV713,Pas de prix,Dump Trucks,2004,491862,"Lake Worth, Texas,  US"
Freightliner M2106,Pas de prix,Box trucks,2019,277584,"Davenport, Florida,  US"
International MV607,Pas de prix,Box trucks,2021,359612,"Lake Worth, Texas,  US"
Chevrolet 5500,Pas de prix,Flatbed Trucks,2006,110876,"Lake Worth, Texas,  US"
Ford E350,Pas de prix,Box trucks,2021,105938,"Lake Worth, Texas,  US"
Ford F-450,Pas de prix,Dump Trucks,2000,300732,"Phoenix, Arizona,  US"
Isuzu NQR,Pas de prix,Reefer Trucks,2018,200719,"Chehalis, Washington,  US"
Freightliner M2 106,Pas de prix,Reefer Trucks,2016,133088,"Perris, California,  US"
Mitsubishi Fuso Van Truck,Pas de prix,Box trucks,2020,32270,"Chehalis, Washington,  US"
RAM 3500,Pas de prix,Flatbed Trucks,2012,124349,"Phoenix, Arizona,  US"
Peterbilt 579 Truck Sleeper,Pas de prix,Other Trucks,2020,Non spécifié,"Perris, California,  US"
Isuzu NQR,Pas de prix,Reefer Trucks,2016,100221,"Perris, California,  US"
Mack AN64T 6x4 T/A Dump Truck,Pas de prix,Dump Trucks,2020,734667,"Perris, California,  US"
Hino 268,Pas de prix,Box trucks,2018,109357,"Perris, California,  US"
Freightliner M2 106,Pas de prix,Dump Trucks,2006,51768,"Chehalis, Washington,  US"
International 4400,Pas de prix,Dump Trucks,2006,124720,"Chehalis, Washington,  US"
International MA025,Pas de prix,Flatbed Trucks,2011,245615,"Chehalis, Washington,  US"
International 4300,Pas de prix,Box trucks,2018,Non spécifié,"Morris, Illinois,  US"
