titre,prix,annee,km,pays,type,modele,lien
Mercedes-Benz Actros 1845 Zug Kipper Dreiseitenkipper Getreide,Company,2019,"491,937 miles",Germany,Farm and Grain Trucks,Mercedes-Benz Actros 1845 Zug Kipper Dreiseitenkipper Getreide,https://www.mascus.com/transportation/farm---grain-trucks/mercedes-benz-actros-1845-zug-kipper-dreiseitenkipper-getreide/dfdndlgr.html
Mercedes-Benz Actros 2745 L / 6x2 / Construction Flatbed / Crane,Company,,"122,638 miles",Hungary,Flatbed Trucks,Mercedes-Benz Actros 2745 L / 6x2 / Construction Flatbed / Crane,https://www.mascus.com/transportation/flatbed-dropside-trucks/mercedes-benz-actros-2745-l-6x2-construction-flatbed-crane/fr7m5u7p.html
Mercedes-Benz Arocs 3540 8X4 NEW Chassis! Steelsuspension Big-Ax,Company,2023,310 miles,Netherlands,Cab & Chassis Trucks,Mercedes-Benz Arocs 3540 8X4 NEW Chassis! Steelsuspension Big-Ax,https://www.mascus.com/transportation/chassis-cab-trucks/mercedes-benz-arocs-3540-8x4-new-chassis-steelsuspension-big-ax/5q9ncpfq.html
Polar Pneumatic Tanker,Company,2012,,United States,Other Trucks,Polar Pneumatic Tanker,https://www.mascus.com/transportation/other-trucks/polar-pneumatic-tanker/dr3pbl3k.html
International 7400,Company,2013,"66,556 miles",United States,Dump Trucks,International 7400,https://www.mascus.com/transportation/tipper-trucks/international-7400/8g3g5gen.html
Scania P 500 6x2*4 9 TON FRONT AXLE / RETARDER,Company,2020,"178,551 miles",Estonia,Container Trucks,Scania P 500 6x2*4 9 TON FRONT AXLE / RETARDER,https://www.mascus.com/transportation/containerframe-trucks/scania-p-500-6x2-4-9-ton-front-axle-retarder/hqfidtcf.html
Ford F-700,Company,1992,,United States,Concrete Trucks,Ford F-700,https://www.mascus.com/transportation/concrete-trucks/ford-f-700/df6i3rfo.html
Volvo FMX420,Company,2021,"200,081 miles",United Kingdom,Dump Trucks,Volvo FMX420,https://www.mascus.com/transportation/tipper-trucks/volvo-fmx420/hfej9lhl.html
Volvo FMX500 8X4,Company,2016,"557,991 miles",Denmark,Demountable Trucks,Volvo FMX500 8X4,https://www.mascus.com/transportation/demountables-trucks/volvo-fmx500-8x4/5j8l8ido.html
Volkswagen Crafter 5.160 Kran Fassi F40 Bis 11 Meter,Company,2015,"22,121 miles",Germany,Flatbed Trucks,Volkswagen Crafter 5.160 Kran Fassi F40 bis 11 Meter,https://www.mascus.com/transportation/flatbed-dropside-trucks/volkswagen-crafter-5-160-kran-fassi-f40-bis-11-meter/7sds9o6o.html
Freightliner M2 106,Company,2007,"263,148 miles",United States,Other Trucks,Freightliner M2 106,https://www.mascus.com/transportation/other-trucks/freightliner-m2-106/4qfgcu9k.html
Peterbilt 567,Company,2026,,United States,Cab & Chassis Trucks,Peterbilt 567,https://www.mascus.com/transportation/chassis-cab-trucks/peterbilt-567/eo4o8i4m.html
Sterling L9500,Company,2006,,United States,Dump Trucks,Sterling L9500,https://www.mascus.com/transportation/tipper-trucks/sterling-l9500/4n4gbq5h.html
Howo 400 6x4,Company,2025,"2,846 miles",China,Dump Trucks,Howo 400 6x4,https://www.mascus.com/transportation/tipper-trucks/howo-400-6x4/bfiqdm9q.html
Freightliner CASCADIA 126,Company,2020,"338,505 miles",United States,Dump Trucks,Freightliner CASCADIA 126,https://www.mascus.com/transportation/tipper-trucks/freightliner-cascadia-126/9o7nesef.html
Palfinger PK18002EH Trakker 6X4 Palfinger PK18002 EH Kran Cr,Company,2026,6 miles,Netherlands,Flatbed Trucks,Palfinger PK18002EH Trakker 6X4 Palfinger PK18002 EH Kran Cr,https://www.mascus.com/transportation/flatbed-dropside-trucks/palfinger-pk18002eh-trakker-6x4-palfinger-pk18002-eh-kran-cr/3iehfj4j.html
RAM 2500,Company,2023,"34,926 miles",United States,Flatbed Trucks,RAM 2500,https://www.mascus.com/transportation/flatbed-dropside-trucks/ram-2500/eier3jho.html
Wirtgen WR2400,Company,2012,,South Africa,Other Trucks,Wirtgen WR2400,https://www.mascus.com/transportation/other-trucks/wirtgen-wr2400/ht3s8ghh.html
Kenworth T800,Company,2002,,United States,Dump Trucks,Kenworth T800,https://www.mascus.com/transportation/tipper-trucks/kenworth-t800/dqeq9p6j.html
MAN TGS 41.440 MAN TGS 41.440 8x4 Euro6e Hyva 26-55 Ab,Company,2025,,Germany,Hook lift trucks,MAN TGS 41.440 MAN TGS 41.440 8x4 Euro6e Hyva 26-55 Ab,https://www.mascus.com/transportation/hook-lift-trucks/man-tgs-41-440-man-tgs-41-440-8x4-euro6e-hyva-26-55-ab/coaler9s.html
Freightliner FL 70,Company,2000,"228,841 miles",United States,Other Trucks,Freightliner FL 70,https://www.mascus.com/transportation/other-trucks/freightliner-fl-70/7m5p3uhn.html
Volvo FH 540 Serie 5713,Company,2016,"553,340 miles",Sweden,Reefer Trucks,Volvo FH 540 serie 5713,https://www.mascus.com/transportation/temperature-controlled-trucks/volvo-fh-540-serie-5713/8k8lften.html
Scania R 660 6x4 AS CHASSIS / RETARDER / TANDEM AXLE LIFT,Company,2022,"496,554 miles",Estonia,Cab & Chassis Trucks,Scania R 660 6x4 AS CHASSIS / RETARDER / TANDEM AXLE LIFT,https://www.mascus.com/transportation/chassis-cab-trucks/scania-r-660-6x4-as-chassis-retarder-tandem-axle-lift/6l4len9i.html
Mercedes-Benz Arocs 3746 Putzmeister 42-5.17 ILS,Company,2022,"61,889 miles",Poland,Concrete Trucks,Mercedes-Benz Arocs 3746 Putzmeister 42-5.17 iLS,https://www.mascus.com/transportation/concrete-trucks/mercedes-benz-arocs-3746-putzmeister-42-5-17-ils/cogm3jbo.html
DAF CF480 FA TK T-1200R Spectrum – 18T –---R-002,Company,2018,,Spain,Reefer Trucks,DAF CF480 FA TK T-1200R Spectrum – 18T –---R-002,https://www.mascus.com/transportation/temperature-controlled-trucks/daf-cf480-fa-tk-t-1200r-spectrum-18t-r-002/dn8tiidu.html
Nissan CABSTAR 35.15 EN CHASIS,Company,2007,"52,817 miles",Spain,Cab & Chassis Trucks,Nissan CABSTAR 35.15 EN CHASIS,https://www.mascus.com/transportation/chassis-cab-trucks/nissan-cabstar-35-15-en-chasis/3gcn8jbo.html
Peterbilt 6x4 Sprayer Plane Loader Truck,Company,1964,"19,537 miles",United States,Other Trucks,Peterbilt 6x4 Sprayer Plane Loader Truck,https://www.mascus.com/transportation/other-trucks/peterbilt-6x4-sprayer-plane-loader-truck/hgakdldq.html
Howo 371 6x4,Company,2024,"4,660 miles",China,Dump Trucks,Howo 371 6x4,https://www.mascus.com/transportation/tipper-trucks/howo-371-6x4/8ofq9qbp.html
Freightliner M2-112,Company,2019,"657,120 miles",United States,Box trucks,Freightliner M2-112,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2-112/5u8ndfhp.html
Peterbilt 567,Company,2024,,United States,Dump Trucks,Peterbilt 567,https://www.mascus.com/transportation/tipper-trucks/peterbilt-567/gf5u7n5h.html
Volvo FH 500 8x4*4 PTO / CHASSIS L=7635 Mm,Company,2022,"556,586 miles",Estonia,Cab & Chassis Trucks,Volvo FH 500 8x4*4 PTO / CHASSIS L=7635 mm,https://www.mascus.com/transportation/chassis-cab-trucks/volvo-fh-500-8x4-4-pto-chassis-l-7635-mm/8m4t9f4j.html
Iveco 35C13,Company,2016,"103,639 miles",France,Dump Trucks,Iveco 35C13,https://www.mascus.com/transportation/tipper-trucks/iveco-35c13/4gbrigcr.html
Western Star 4900,Company,2007,"221,508 miles",United States,Car Haulers,Western Star 4900,https://www.mascus.com/transportation/vehicle-transporters/western-star-4900/4hhqalbt.html
Mercedes-Benz AROCS 2642 6X4 MKG HLK221 RETAR,Company,2015,"435,040 miles",Netherlands,Flatbed Trucks,Mercedes-Benz AROCS 2642 6X4 MKG HLK221 RETAR,https://www.mascus.com/transportation/flatbed-dropside-trucks/mercedes-benz-arocs-2642-6x4-mkg-hlk221-retar/bf5mhgau.html
Volvo FM 18.250,Company,2026,311 miles,Denmark,Cab & Chassis Trucks,Volvo FM 18.250,https://www.mascus.com/transportation/chassis-cab-trucks/volvo-fm-18-250/digu7haq.html
Iveco Eurocargo ML150E24W,Company,2015,,Peru,Tank Trucks,Iveco Eurocargo ML150E24W,https://www.mascus.com/transportation/tank-trucks/iveco-eurocargo-ml150e24w/4q4oegal.html
Peterbilt 567,Company,2026,,United States,Cab & Chassis Trucks,Peterbilt 567,https://www.mascus.com/transportation/chassis-cab-trucks/peterbilt-567/9oag3sam.html
Western Star 4900,Company,2005,"311,607 miles",United States,Boom / Crane / Bucket Trucks,Western Star 4900,https://www.mascus.com/transportation/crane-trucks/western-star-4900/hp5uco7u.html
MAN TGS 18.400 4x2 CHASSIS L=7400 Mm,Company,2020,"517,445 miles",Estonia,Container Trucks,MAN TGS 18.400 4x2 CHASSIS L=7400 mm,https://www.mascus.com/transportation/containerframe-trucks/man-tgs-18-400-4x2-chassis-l-7400-mm/9khigt6u.html
Peterbilt 567,Company,2019,"139,893 miles",United States,Dump Trucks,Peterbilt 567,https://www.mascus.com/transportation/tipper-trucks/peterbilt-567/3odlfmgg.html
Renault Kerax 420DCI + PALFINGER 29002 + 8X4 + MANUAL + 20,Company,2004,"303,645 miles",Netherlands,Hook lift trucks,Renault Kerax 420DCI + PALFINGER 29002 + 8X4 + MANUAL + 20,https://www.mascus.com/transportation/hook-lift-trucks/renault-kerax-420dci-palfinger-29002-8x4-manual-20/iqbnbr9j.html
Mercedes-Benz ATEGO 1524 + HR,Company,2013,"100,041 miles",Czech Republic,Cab & Chassis Trucks,Mercedes-Benz ATEGO 1524 + HR,https://www.mascus.com/transportation/chassis-cab-trucks/mercedes-benz-atego-1524-hr/akejal6o.html
Mercedes-Benz ACTROS 2545,Company,,"348,589 miles",Hungary,Flatbed Trucks,Mercedes-Benz ACTROS 2545,https://www.mascus.com/transportation/flatbed-dropside-trucks/mercedes-benz-actros-2545/3nfo3i9q.html
Volvo FH 460 + TRS + COMBI + EURO 6,Company,2019,"781,129 miles",Netherlands,Reefer Trucks,Volvo FH 460 + TRS + COMBI + EURO 6,https://www.mascus.com/transportation/temperature-controlled-trucks/volvo-fh-460-trs-combi-euro-6/8tfnepam.html
Scania P410 8X4 9m3 Stetter Mixer Steel Suspension Automa,Company,2017,"129,141 miles",Netherlands,Concrete Trucks,Scania P410 8X4 9m3 Stetter mixer Steel suspension Automa,https://www.mascus.com/transportation/concrete-trucks/scania-p410-8x4-9m3-stetter-mixer-steel-suspension-automa/hh4f5n6t.html
Volvo FH 13 500 6X2,Company,2020,"520,709 miles",Finland,Log trucks,Volvo FH 13 500 6X2,https://www.mascus.com/transportation/timber-trucks/volvo-fh-13-500-6x2/8rgubl9q.html
Peterbilt 567,Company,2018,"124,567 miles",United States,Skip loader trucks,Peterbilt 567,https://www.mascus.com/transportation/skip-loader-trucks/peterbilt-567/6rgf4qio.html
Mercedes-Benz ACTROS 3341,Company,2007,"268,432 miles",Poland,Dump Trucks,Mercedes-Benz ACTROS 3341,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-actros-3341/blcsimgn.html
Scania G 490 LB8x2/*6MNB - Kroghejs,Company,2017,"478,456 miles",Denmark,Cab & Chassis Trucks,Scania G 490 LB8x2/*6MNB - Kroghejs,https://www.mascus.com/transportation/chassis-cab-trucks/scania-g-490-lb8x2-6mnb-kroghejs/esaohfht.html
