titre,prix,annee,km,pays,type,modele,lien
Peterbilt 567,Company,2019,"253,067 miles",United States,Dump Trucks,Peterbilt 567,https://www.mascus.com/transportation/tipper-trucks/peterbilt-567/3j4obo8k.html
Renault Kerax 370.19 DXI,Company,2008,"322,001 miles",France,Dump Trucks,Renault Kerax 370.19 DXI,https://www.mascus.com/transportation/tipper-trucks/renault-kerax-370-19-dxi/5qgngt8t.html
"Kenworth T280 26'+3' Attic Moving Body With 3,300lb Liftgat",Company,2023,"56,558 miles",United States,Box trucks,"Kenworth T280 26'+3' Attic Moving Body With 3,300lb Liftgat",https://www.mascus.com/transportation/box-body-trucks/kenworth-t280-26-3-attic-moving-body-with-3-300lb-liftgat/bt4mcubf.html
Mercedes-Benz Arocs 3348,Company,2016,"260,976 miles",Spain,Hook lift trucks,Mercedes-Benz arocs 3348,https://www.mascus.com/transportation/hook-lift-trucks/mercedes-benz-arocs-3348/ei5sdnaf.html
Volvo FM7,Company,1999,,Norway,Other Trucks,Volvo FM7,https://www.mascus.com/transportation/other-trucks/volvo-fm7/fk7pcshp.html
"Volvo FH 500hp Euro5, Tienhoitovarustus, Katsastettu 28.",Company,2010,"506,417 miles",Finland,Dump Trucks,"Volvo FH 500hp Euro5, tienhoitovarustus, katsastettu 28.",https://www.mascus.com/transportation/tipper-trucks/volvo-fh-500hp-euro5-tienhoitovarustus-katsastettu-28/8hdkhkiq.html
Mercedes-Benz Actros 5 S/M 1830 L NR 4x2 Fokor FRC 2-Lämpökori,Company,2021,"219,313 miles",Finland,Reefer Trucks,Mercedes-Benz Actros 5 S/M 1830 L nR 4x2 Fokor FRC 2-lämpökori,https://www.mascus.com/transportation/temperature-controlled-trucks/mercedes-benz-actros-5-s-m-1830-l-nr-4x2-fokor-frc-2-lampokori/asengsei.html
Isuzu NPR-3Y354,Company,2026,,United States,Box trucks,Isuzu NPR-3Y354,https://www.mascus.com/transportation/box-body-trucks/isuzu-npr-3y354/gm6u6u8o.html
Mercedes-Benz Sprinter **413CDI-WINCH+RAMPS**,Company,2004,"122,323 miles",Belgium,Car Haulers,Mercedes-Benz Sprinter **413CDI-WINCH+RAMPS**,https://www.mascus.com/transportation/vehicle-transporters/mercedes-benz-sprinter-413cdi-winch-ramps/ek8thoct.html
Renault C 430 Retarder,Company,2016,"333,176 miles",Portugal,Cab & Chassis Trucks,Renault C 430 Retarder,https://www.mascus.com/transportation/chassis-cab-trucks/renault-c-430-retarder/apdnel6n.html
MAN TGS 26.400 CIFA 35-5 M K35L,Company,2015,"110,604 miles",Poland,Concrete Trucks,MAN TGS 26.400 CIFA 35-5 m K35L,https://www.mascus.com/transportation/concrete-trucks/man-tgs-26-400-cifa-35-5-m-k35l/if8k6has.html
Volvo FM 430 Euro 6 Hyvalift 26 Ton Haakarmsysteem,Company,2026,25 miles,Netherlands,Hook lift trucks,Volvo FM 430 Euro 6 Hyvalift 26 Ton haakarmsysteem,https://www.mascus.com/transportation/hook-lift-trucks/volvo-fm-430-euro-6-hyvalift-26-ton-haakarmsysteem/dg3ndpdf.html
DAF CF 410,Company,2009,"148,362 miles",France,Demountable Trucks,DAF CF 410,https://www.mascus.com/transportation/demountables-trucks/daf-cf-410/dt5ral8t.html
MAN TGS 41.460,Company,2018,"86,821 miles",Poland,Dump Trucks,MAN TGS 41.460,https://www.mascus.com/transportation/tipper-trucks/man-tgs-41-460/fg9lclam.html
Scania P 370,Company,2017,"172,120 miles",United Kingdom,Concrete Trucks,Scania P 370,https://www.mascus.com/transportation/concrete-trucks/scania-p-370/iifr7i4h.html
Isuzu M27 Flatbed,Company,2025,,Hungary,Other Trucks,Isuzu M27 Flatbed,https://www.mascus.com/transportation/other-trucks/isuzu-m27-flatbed/9tbmdtgl.html
Mercedes-Benz Actros 2658 6x4 PK 19001 / RETARDER / BOX L=6628 M,Company,2018,"252,826 miles",Estonia,Boom / Crane / Bucket Trucks,Mercedes-Benz Actros 2658 6x4 PK 19001 / RETARDER / BOX L=6628 m,https://www.mascus.com/transportation/crane-trucks/mercedes-benz-actros-2658-6x4-pk-19001-retarder-box-l-6628-m/9ndrdqfj.html
MAN TGA,Company,2007,"292,044 miles",Poland,Other Trucks,MAN TGA,https://www.mascus.com/transportation/other-trucks/man-tga/5uefaldm.html
Kuorma-Auton Renkaat + Vanteet,Company,,,Finland,Other Trucks,Kuorma-auton renkaat + Vanteet,https://www.mascus.com/transportation/other-trucks/kuorma-auton-renkaat-vanteet/5pcq3mft.html
Peterbilt 567,Company,2026,,United States,Dump Trucks,Peterbilt 567,https://www.mascus.com/transportation/tipper-trucks/peterbilt-567/eparcm6i.html
MAN TGS 43.440 8X8 HAAKSYSTEEM 30 TONS / PALFINGER Q20,Company,2016,"284,588 miles",Netherlands,Hook lift trucks,MAN TGS 43.440 8X8 HAAKSYSTEEM 30 TONS / PALFINGER Q20,https://www.mascus.com/transportation/hook-lift-trucks/man-tgs-43-440-8x8-haaksysteem-30-tons-palfinger-q20/dq3mgkcs.html
Scania R590 Timmerbil 6x4,Company,2026,,Sweden,Log trucks,Scania R590 Timmerbil 6x4,https://www.mascus.com/transportation/timber-trucks/scania-r590-timmerbil-6x4/4iio9mcl.html
Isuzu DIESEL NPR XD,Company,2026,,United States,Other Trucks,Isuzu DIESEL NPR XD,https://www.mascus.com/transportation/other-trucks/isuzu-diesel-npr-xd/ao5h7tgf.html
Chevrolet W4500,Company,2001,,United States,Dump Trucks,Chevrolet W4500,https://www.mascus.com/transportation/tipper-trucks/chevrolet-w4500/8g7h4j9i.html
Freightliner M2 106,Company,2019,"192,449 miles",United States,Curtain Side Trucks,Freightliner M2 106,https://www.mascus.com/transportation/curtainsider-trucks/freightliner-m2-106/3sfkfn8i.html
International 4700,Company,2000,"57,775 miles",United States,Flatbed Trucks,International 4700,https://www.mascus.com/transportation/flatbed-dropside-trucks/international-4700/gn7sgk6q.html
Hino 185,Company,2008,"261,277 miles",Canada,Box trucks,Hino 185,https://www.mascus.com/transportation/box-body-trucks/hino-185/3j5saphn.html
Scania R520 Kranbil Bodbil HIAB 855E-8 HIPRO,Company,2014,,Sweden,Boom / Crane / Bucket Trucks,Scania R520 Kranbil Bodbil HIAB 855E-8 HIPRO,https://www.mascus.com/transportation/crane-trucks/scania-r520-kranbil-bodbil-hiab-855e-8-hipro/8l7tbl6u.html
Ford F500 4x2 Grain Truck,Company,1968,"66,982 miles",United States,Farm and Grain Trucks,Ford F500 4x2 Grain Truck,https://www.mascus.com/transportation/farm---grain-trucks/ford-f500-4x2-grain-truck/fr6k7h5h.html
Freightliner M2 106,Company,2019,"362,180 miles",United States,Curtain Side Trucks,Freightliner M2 106,https://www.mascus.com/transportation/curtainsider-trucks/freightliner-m2-106/cueliidg.html
Mack Granite GU713,Company,2017,,United States,Dump Trucks,Mack Granite GU713,https://www.mascus.com/transportation/tipper-trucks/mack-granite-gu713/9genilar.html
Scania 124C 400 6x6,Company,1997,"56,127 miles",Germany,Cab & Chassis Trucks,Scania 124C 400 6x6,https://www.mascus.com/transportation/chassis-cab-trucks/scania-124c-400-6x6/hl9h9o9t.html
DAF XF 480,Company,2017,"568,554 miles",Poland,Car Haulers,DAF XF 480,https://www.mascus.com/transportation/vehicle-transporters/daf-xf-480/6tatiiij.html
Mercedes-Benz Arocs 3251 8x4 BOX L=6155 Mm,Company,2015,"319,848 miles",Estonia,Dump Trucks,Mercedes-Benz Arocs 3251 8x4 BOX L=6155 mm,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-arocs-3251-8x4-box-l-6155-mm/7hhnip6h.html
Hino 268,Company,2019,"169,055 miles",United States,Reefer Trucks,Hino 268,https://www.mascus.com/transportation/temperature-controlled-trucks/hino-268/hm7tekgm.html
Iveco DAILY 35S17 Twosided Strickling E5b Vin 4253 VIN 2,Company,2015,"596,923 miles",Slovak Republic,Curtain Side Trucks,Iveco DAILY 35S17 twosided strickling E5b vin 4253 VIN 2,https://www.mascus.com/transportation/curtainsider-trucks/iveco-daily-35s17-twosided-strickling-e5b-vin-4253-vin-2/3i6get7h.html
Gourdon CIT13,Company,2014,,France,Other Trucks,Gourdon CIT13,https://www.mascus.com/transportation/other-trucks/gourdon-cit13/hian3g4f.html
Sterling LT8513,Company,2007,"79,200 miles",United States,Tank Trucks,Sterling LT8513,https://www.mascus.com/transportation/tank-trucks/sterling-lt8513/8ghi6q7u.html
DAF XG 480 6X2 BDF Lift+Steering Axle Automatic Retard,Company,2023,"288,750 miles",Netherlands,Demountable Trucks,DAF XG 480 6X2 BDF Lift+Steering Axle Automatic Retard,https://www.mascus.com/transportation/demountables-trucks/daf-xg-480-6x2-bdf-lift-steering-axle-automatic-retard/dr3rek8j.html
"MAN 8,210",Company,2008,"428,746 miles",Hungary,Car Haulers,"MAN 8,210",https://www.mascus.com/transportation/vehicle-transporters/man-8-210/bghuirhf.html
Mercedes-Benz ACTROS 1845 GIGASPACE * AUTOTRANSPORTER *,Company,2017,"526,923 miles",Germany,Car Haulers,Mercedes-Benz ACTROS 1845 GIGASPACE * AUTOTRANSPORTER *,https://www.mascus.com/transportation/vehicle-transporters/mercedes-benz-actros-1845-gigaspace-autotransporter/6ofqekej.html
Mercedes-Benz Atego 822 + Tail Lift,Company,2012,"279,617 miles",Hungary,Curtain Side Trucks,Mercedes-Benz Atego 822 + Tail Lift,https://www.mascus.com/transportation/curtainsider-trucks/mercedes-benz-atego-822-tail-lift/bg3g6qim.html
Volvo FL612,Company,1995,"98,567 miles",France,Tank Trucks,Volvo FL612,https://www.mascus.com/transportation/tank-trucks/volvo-fl612/es5p8i4o.html
Volvo TRUCK VNL64TV04,Company,2027,,United States,Other Trucks,Volvo TRUCK VNL64TV04,https://www.mascus.com/transportation/other-trucks/volvo-truck-vnl64tv04/cgdi7fdp.html
Scania G490 10x4 Dumper,Company,2017,"321,249 miles",Switzerland,Dump Trucks,Scania G490 10x4 Dumper,https://www.mascus.com/transportation/tipper-trucks/scania-g490-10x4-dumper/4o6qhnag.html
Renault D-Serie,Company,2015,"120,546 miles",Denmark,Flatbed Trucks,Renault D-serie,https://www.mascus.com/transportation/flatbed-dropside-trucks/renault-d-serie/3p9o4fai.html
DAF CF 85.380 + MANUAL + HMF 1680 + HYVA + 6X2,Company,2003,"348,651 miles",Netherlands,Dump Trucks,DAF CF 85.380 + MANUAL + HMF 1680 + HYVA + 6X2,https://www.mascus.com/transportation/tipper-trucks/daf-cf-85-380-manual-hmf-1680-hyva-6x2/dibh4nci.html
"Mercedes-Benz Arocs 1848 K 4x2, Retarder, Kran Palfinger PK",Company,2019,"57,247 miles",Germany,Dump Trucks,"Mercedes-Benz Arocs 1848 K 4x2, Retarder, Kran Palfinger PK",https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-arocs-1848-k-4x2-retarder-kran-palfinger-pk/buffggci.html
"Volkswagen Crafter Pritsche+Plane, TÜV Bis 10/26",Company,2009,"118,705 miles",Germany,Curtain Side Trucks,"Volkswagen Crafter Pritsche+Plane, TÜV bis 10/26",https://www.mascus.com/transportation/curtainsider-trucks/volkswagen-crafter-pritsche-plane-tuv-bis-10-26/3udtfo3o.html
DAF LF310,Company,2014,"498,292 miles",France,Reefer Trucks,DAF LF310,https://www.mascus.com/transportation/temperature-controlled-trucks/daf-lf310/6f8lhi7f.html
Sterling LT9500,Company,2007,,United States,Boom / Crane / Bucket Trucks,Sterling LT9500,https://www.mascus.com/transportation/crane-trucks/sterling-lt9500/4hgs7uio.html
MAN TGA 26.320 6x2/4,Company,2008,,Lithuania,Dump Trucks,MAN TGA 26.320 6x2/4,https://www.mascus.com/transportation/tipper-trucks/man-tga-26-320-6x2-4/fudq4o4i.html
Mercedes-Benz SPRINTER 516 CDI / SPROWADZONY Z FRANCJI /,Company,2019,"114,954 miles",Hungary,Other Trucks,Mercedes-Benz SPRINTER 516 CDI / SPROWADZONY Z FRANCJI /,https://www.mascus.com/transportation/other-trucks/mercedes-benz-sprinter-516-cdi-sprowadzony-z-francji/hqgggk7p.html
Howo 371 6x4,Company,2024,"5,344 miles",China,Dump Trucks,Howo 371 6x4,https://www.mascus.com/transportation/tipper-trucks/howo-371-6x4/3jeghiag.html
Mitsubishi Canter 7/800,Company,2014,"148,220 miles",Australia,Reefer Trucks,Mitsubishi Canter 7/800,https://www.mascus.com/transportation/temperature-controlled-trucks/mitsubishi-canter-7-800/ar3qiiho.html
"Mercedes-Benz 2645 6X4, PALFINGER ABROLLKIPPER, EURO6, PREIS OH",Company,2024,"43,162 miles",Austria,Hook lift trucks,"Mercedes-Benz 2645 6X4, PALFINGER ABROLLKIPPER, EURO6, PREIS OH",https://www.mascus.com/transportation/hook-lift-trucks/mercedes-benz-2645-6x4-palfinger-abrollkipper-euro6-preis-oh/cggg5ign.html
International MV REEFER,Company,2020,"235,931 miles",Canada,Reefer Trucks,International MV REEFER,https://www.mascus.com/transportation/temperature-controlled-trucks/international-mv-reefer/is9g9keg.html
Iveco DAILY 72C18 10P FRC.X ME P/E,Company,2019,"334,919 miles",Spain,Reefer Trucks,Iveco DAILY 72C18 10P FRC.X ME P/E,https://www.mascus.com/transportation/temperature-controlled-trucks/iveco-daily-72c18-10p-frc-x-me-p-e/ah4fhq7g.html
Chevrolet Silverado Crew 2500HD,Company,2012,,United States,Other Trucks,Chevrolet Silverado Crew 2500HD,https://www.mascus.com/transportation/other-trucks/chevrolet-silverado-crew-2500hd/7p6fam5f.html
Peterbilt 567,Company,2026,"1,372 miles",United States,Cab & Chassis Trucks,Peterbilt 567,https://www.mascus.com/transportation/chassis-cab-trucks/peterbilt-567/do4t3u5q.html
Iveco Eurocargo 160E300 4X2 NEW! 16T Chassis 2016 Produc,Company,2017,7 miles,Netherlands,Cab & Chassis Trucks,Iveco Eurocargo 160E300 4X2 NEW! 16T chassis 2016 produc,https://www.mascus.com/transportation/chassis-cab-trucks/iveco-eurocargo-160e300-4x2-new-16t-chassis-2016-produc/eoisikfm.html
Scania P380 P380 4X2 MOTOR KAPOT,Company,2007,"506,563 miles",Netherlands,Flatbed Trucks,Scania P380 P380 4X2 MOTOR KAPOT,https://www.mascus.com/transportation/flatbed-dropside-trucks/scania-p380-p380-4x2-motor-kapot/hjifef8f.html
MAN TGS 26.440 * Abrollkipper * 6x6 * TOPZUSTAND !,Company,,"336,162 miles",Hungary,Hook lift trucks,MAN TGS 26.440 * Abrollkipper * 6x6 * TOPZUSTAND !,https://www.mascus.com/transportation/hook-lift-trucks/man-tgs-26-440-abrollkipper-6x6-topzustand/cperiidn.html
Iveco DAILY 35C15,Company,2013,"356,151 miles",Italy,Reefer Trucks,Iveco DAILY 35C15,https://www.mascus.com/transportation/temperature-controlled-trucks/iveco-daily-35c15/3pghaiif.html
DAF CF 320 **BELGIAN TRUCK-EURO 6**,Company,2017,"616,974 miles",Belgium,Curtain Side Trucks,DAF CF 320 **BELGIAN TRUCK-EURO 6**,https://www.mascus.com/transportation/curtainsider-trucks/daf-cf-320-belgian-truck-euro-6/iqdqdrep.html
MAN TGS 35.540 8X2H-6 BL,Company,2026,,Denmark,Demountable Trucks,MAN TGS 35.540 8X2H-6 BL,https://www.mascus.com/transportation/demountables-trucks/man-tgs-35-540-8x2h-6-bl/fm9rel4t.html
Peterbilt 567,Company,2017,,United States,Dump Trucks,Peterbilt 567,https://www.mascus.com/transportation/tipper-trucks/peterbilt-567/bqgn6nip.html
Volvo FE 320 6x2*4 - Tipper Hardox - Full Air - Steering,Company,2015,"262,482 miles",Netherlands,Dump Trucks,Volvo FE 320 6x2*4 - Tipper Hardox - Full air - Steering,https://www.mascus.com/transportation/tipper-trucks/volvo-fe-320-6x2-4-tipper-hardox-full-air-steering/5r3u7o9g.html
Iveco Eurocargo 160E250 4X2 NEW Chassis 16tons CNG Autom,Company,2026,7 miles,Netherlands,Cab & Chassis Trucks,Iveco Eurocargo 160E250 4X2 NEW Chassis 16tons CNG Autom,https://www.mascus.com/transportation/chassis-cab-trucks/iveco-eurocargo-160e250-4x2-new-chassis-16tons-cng-autom/ek9oelcf.html
MAN TGS 33.440 MAN TGS 33.440 6x6 /Euro6e Mulden-Kippe,Company,2025,,Germany,Dump Trucks,MAN TGS 33.440 MAN TGS 33.440 6x6 /Euro6e Mulden-Kippe,https://www.mascus.com/transportation/tipper-trucks/man-tgs-33-440-man-tgs-33-440-6x6-euro6e-mulden-kippe/5m9k6q5u.html
Scania R580 6X4,Company,2005,"681,492 miles",Finland,Hook lift trucks,Scania R580 6X4,https://www.mascus.com/transportation/hook-lift-trucks/scania-r580-6x4/5tffaj9t.html
Mercedes-Benz 3335 K 8X4 FULL STEEL MAN.,Company,1990,"256,530 miles",Netherlands,Dump Trucks,Mercedes-Benz 3335 K 8X4 FULL STEEL MAN.,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-3335-k-8x4-full-steel-man/fhbmfhdu.html
Peterbilt 367,Company,2016,"326,000 miles",United States,Dump Trucks,Peterbilt 367,https://www.mascus.com/transportation/tipper-trucks/peterbilt-367/bjhodhdn.html
Howo 400 8x4,Company,2025,"3,107 miles",China,Dump Trucks,Howo 400 8x4,https://www.mascus.com/transportation/tipper-trucks/howo-400-8x4/eleu6obg.html
MAN TGS 18.320,Company,2015,"139,808 miles",Denmark,Cab & Chassis Trucks,MAN TGS 18.320,https://www.mascus.com/transportation/chassis-cab-trucks/man-tgs-18-320/drdh3lcn.html
Mercedes-Benz Actros 3763 8x4,Company,2022,"111,847 miles",Sweden,Hook lift trucks,Mercedes-Benz Actros 3763 8x4,https://www.mascus.com/transportation/hook-lift-trucks/mercedes-benz-actros-3763-8x4/4rhk6uem.html
Scania R 580 6x2*4 FOR SALE AS CHASSIS / 9 TON FRONT AXLE,Company,2015,"489,325 miles",Estonia,Cab & Chassis Trucks,Scania R 580 6x2*4 FOR SALE AS CHASSIS / 9 TON FRONT AXLE,https://www.mascus.com/transportation/chassis-cab-trucks/scania-r-580-6x2-4-for-sale-as-chassis-9-ton-front-axle/aobibqfi.html
Freightliner M2,Company,2019,,United States,Box trucks,Freightliner M2,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2/erbs3q6g.html
Mercedes-Benz ATEGO 816,Company,2018,"274,947 miles",Hungary,Reefer Trucks,Mercedes-Benz ATEGO 816,https://www.mascus.com/transportation/temperature-controlled-trucks/mercedes-benz-atego-816/fq7lgi6l.html
Freightliner M2106,Company,2024,"282,388 miles",United States,Box trucks,Freightliner M2106,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2106/guaq5o6g.html
GMC C60,Company,1984,,United States,Dump Trucks,GMC C60,https://www.mascus.com/transportation/tipper-trucks/gmc-c60/9kip6f7r.html
"Mercedes-Benz U 218 4x4 Winterdienst, Hydrostat, Zapfwelle",Company,2016,"45,941 miles",Germany,Dump Trucks,"Mercedes-Benz U 218 4x4 Winterdienst, Hydrostat, Zapfwelle",https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-u-218-4x4-winterdienst-hydrostat-zapfwelle/4m3i5ibf.html
Nissan CABSTAR 35.12,Company,2015,"18,952 miles",France,Other Trucks,Nissan CABSTAR 35.12,https://www.mascus.com/transportation/other-trucks/nissan-cabstar-35-12/8t4mguan.html
Nissan ATLEON 35.15 ISOTERMO,Company,2009,"138,566 miles",Spain,Reefer Trucks,Nissan ATLEON 35.15 ISOTERMO,https://www.mascus.com/transportation/temperature-controlled-trucks/nissan-atleon-35-15-isotermo/gnhldfgn.html
Sterling Acterra,Company,2005,,United States,Dump Trucks,Sterling Acterra,https://www.mascus.com/transportation/tipper-trucks/sterling-acterra/egfjhnio.html
International MV,Company,2027,,Canada,Cab & Chassis Trucks,International MV,https://www.mascus.com/transportation/chassis-cab-trucks/international-mv/hjinhn3p.html
Volvo FM340 6x2*Überdach*Lift-Lenk*AHK*Klima*LBW,Company,2020,"167,489 miles",Germany,Box trucks,Volvo FM340 6x2*Überdach*Lift-Lenk*AHK*Klima*LBW,https://www.mascus.com/transportation/box-body-trucks/volvo-fm340-6x2-uberdach-lift-lenk-ahk-klima-lbw/6h8kar6r.html
MAN TGS 35.500 | 8X4 | RETARDER | BIG AXLES | FULL STE,Company,2019,"124,669 miles",Netherlands,Dump Trucks,MAN TGS 35.500 | 8X4 | RETARDER | BIG AXLES | FULL STE,https://www.mascus.com/transportation/tipper-trucks/man-tgs-35-500-8x4-retarder-big-axles-full-ste/eu4lem3p.html
Volvo FH500 6x2 EURO 6 SHORT CABIN,Company,2016,,Lithuania,Cab & Chassis Trucks,Volvo FH500 6x2 EURO 6 SHORT CABIN,https://www.mascus.com/transportation/chassis-cab-trucks/volvo-fh500-6x2-euro-6-short-cabin/4h8ldnen.html
Shacman F3000 6x4,Company,2024,"5,282 miles",China,Dump Trucks,Shacman F3000 6x4,https://www.mascus.com/transportation/tipper-trucks/shacman-f3000-6x4/br6jfm9o.html
Volvo FL611,Company,1987,"204,651 miles",Netherlands,Cab & Chassis Trucks,Volvo FL611,https://www.mascus.com/transportation/chassis-cab-trucks/volvo-fl611/3piihn9l.html
Mitsubishi Canter 918,Company,2018,"195,167 miles",Australia,Reefer Trucks,Mitsubishi Canter 918,https://www.mascus.com/transportation/temperature-controlled-trucks/mitsubishi-canter-918/clfpetdo.html
Volvo FH 500 8x2*6 PK 78002 + JIB + WINCH / PLATFORM L=6,Company,2016,"147,866 miles",Estonia,Boom / Crane / Bucket Trucks,Volvo FH 500 8x2*6 PK 78002 + JIB + WINCH / PLATFORM L=6,https://www.mascus.com/transportation/crane-trucks/volvo-fh-500-8x2-6-pk-78002-jib-winch-platform-l-6/aghn6i8g.html
International 4300,Company,2016,,United States,Box trucks,International 4300,https://www.mascus.com/transportation/box-body-trucks/international-4300/grbp4tcj.html
Scania G 480 8x2*6 // HMK Bilcon 24.000 L. //ADR//Euro 5,Company,2011,"455,465 miles",Denmark,Tank Trucks,Scania G 480 8x2*6 // HMK Bilcon 24.000 l. //ADR//Euro 5,https://www.mascus.com/transportation/tank-trucks/scania-g-480-8x2-6-hmk-bilcon-24-000-l-adr-euro-5/5nbrgqas.html
M&G 15 Ft Truck Dump Body,Company,0,,Canada,Dump Trucks,M&G 15 ft Truck Dump Body,https://www.mascus.com/transportation/tipper-trucks/m-g-15-ft-truck-dump-body/4sds6s6o.html
Scania P250 4x2 Carrier Supra 950 Mt. Euro 6,Company,2016,"259,112 miles",Denmark,Reefer Trucks,Scania P250 4x2 Carrier Supra 950 mt. Euro 6,https://www.mascus.com/transportation/temperature-controlled-trucks/scania-p250-4x2-carrier-supra-950-mt-euro-6/dhftdr7j.html
Western Star 4700SB,Company,2014,"70,939 miles",United States,Boom / Crane / Bucket Trucks,Western Star 4700SB,https://www.mascus.com/transportation/crane-trucks/western-star-4700sb/6mht3q9j.html
Chevrolet Express G3500,Company,2024,"31,599 miles",United States,Reefer Trucks,Chevrolet Express G3500,https://www.mascus.com/transportation/temperature-controlled-trucks/chevrolet-express-g3500/6nhtck7n.html
Volvo FH 540 Volvo FH 540 6x4 EPSILON,Company,2025,,Germany,Log trucks,Volvo FH 540 Volvo FH 540 6x4 EPSILON,https://www.mascus.com/transportation/timber-trucks/volvo-fh-540-volvo-fh-540-6x4-epsilon/apgnhjai.html
Volvo FE 320 Multilift 21 Ton Haakarmsysteem Just 192.04,Company,2009,"119,330 miles",Netherlands,Hook lift trucks,Volvo FE 320 Multilift 21 Ton haakarmsysteem Just 192.04,https://www.mascus.com/transportation/hook-lift-trucks/volvo-fe-320-multilift-21-ton-haakarmsysteem-just-192-04/5ibshtgf.html
Iveco Daily 35C,Company,2020,,France,Dump Trucks,Iveco Daily 35C,https://www.mascus.com/transportation/tipper-trucks/iveco-daily-35c/ci9j9l4o.html
Kenworth T300,Company,2007,"339,866 miles",United States,Box trucks,Kenworth T300,https://www.mascus.com/transportation/box-body-trucks/kenworth-t300/frftauck.html
"Aebi Schmidt MT750 4x4, Winterdienstausstattung",Company,2016,"39,022 miles",Germany,Dump Trucks,"Aebi Schmidt MT750 4x4, Winterdienstausstattung",https://www.mascus.com/transportation/tipper-trucks/aebi-schmidt-mt750-4x4-winterdienstausstattung/ejgl5l8o.html
Hino 268,Company,2020,"114,903 miles",United States,Flatbed Trucks,Hino 268,https://www.mascus.com/transportation/flatbed-dropside-trucks/hino-268/6g5rhiao.html
Renault PREMIUM 320 DXI + DHOLLANDIA 1.5T,Company,2012,"405,402 miles",Belgium,Curtain Side Trucks,Renault PREMIUM 320 DXI + DHOLLANDIA 1.5T,https://www.mascus.com/transportation/curtainsider-trucks/renault-premium-320-dxi-dhollandia-1-5t/gp5i5p8j.html
MAN TGA 26.440 6x4H Palfinger PK 29002 Crane Winch,Company,2007,"495,854 miles",Poland,Boom / Crane / Bucket Trucks,MAN TGA 26.440 6x4H Palfinger PK 29002 Crane Winch,https://www.mascus.com/transportation/crane-trucks/man-tga-26-440-6x4h-palfinger-pk-29002-crane-winch/3m6f5feq.html
International 7500,Company,2014,"52,674 miles",United States,Dump Trucks,International 7500,https://www.mascus.com/transportation/tipper-trucks/international-7500/ipei5q7n.html
"MAN TGM 16.250 4x2 BL, Kran Atlas AK 65.2-A2L,",Company,2010,"98,509 miles",Germany,Hook lift trucks,"MAN TGM 16.250 4x2 BL, Kran Atlas AK 65.2-A2L,",https://www.mascus.com/transportation/hook-lift-trucks/man-tgm-16-250-4x2-bl-kran-atlas-ak-65-2-a2l/dgfkbjhg.html
Western Star 4800 SB,Company,2013,"370,578 miles",Canada,Dump Trucks,Western Star 4800 SB,https://www.mascus.com/transportation/tipper-trucks/western-star-4800-sb/8jihdg6m.html
Howo 420,Company,2024,"9,321 miles",China,Dump Trucks,Howo 420,https://www.mascus.com/transportation/tipper-trucks/howo-420/imgmhi7o.html
MAN TGS 41.440,Company,,"227,422 miles",Hungary,Dump Trucks,MAN TGS 41.440,https://www.mascus.com/transportation/tipper-trucks/man-tgs-41-440/8l9jcien.html
Ford F-450,Company,2005,,United States,Flatbed Trucks,Ford F-450,https://www.mascus.com/transportation/flatbed-dropside-trucks/ford-f-450/3i4k3phm.html
Scania R650 V8 6x2 WB 4.95mtr Retarder Full Air,Company,2019,"344,218 miles",Netherlands,Cab & Chassis Trucks,Scania R650 V8 6x2 WB 4.95mtr Retarder Full Air,https://www.mascus.com/transportation/chassis-cab-trucks/scania-r650-v8-6x2-wb-4-95mtr-retarder-full-air/ffdrhoii.html
Ford F-650,Company,2017,,United States,Box trucks,Ford F-650,https://www.mascus.com/transportation/box-body-trucks/ford-f-650/5t6s8p3k.html
MAN TGA 26.360,Company,2008,"369,716 miles",Hungary,Flatbed Trucks,MAN TGA 26.360,https://www.mascus.com/transportation/flatbed-dropside-trucks/man-tga-26-360/cu9l6ibs.html
Heil Pneumatic Tanker,Company,2025,,United States,Other Trucks,Heil Pneumatic Tanker,https://www.mascus.com/transportation/other-trucks/heil-pneumatic-tanker/gl5lemiq.html
International 4300,Company,2008,,United States,Flatbed Trucks,International 4300,https://www.mascus.com/transportation/flatbed-dropside-trucks/international-4300/fqhi5mgm.html
Mercedes-Benz Arocs 4148AK BB 8x8 Kipper 33m³ 3x Vorhanden,Company,2019,"51,881 miles",Germany,Dump Trucks,Mercedes-Benz Arocs 4148AK BB 8x8 Kipper 33m³ 3x Vorhanden,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-arocs-4148ak-bb-8x8-kipper-33m3-3x-vorhanden/eqaf6q9g.html
Dieci L3500,Company,2021,,Germany,Concrete Trucks,Dieci L3500,https://www.mascus.com/transportation/concrete-trucks/dieci-l3500/8tilhjch.html
International MV607,Company,2020,"183,961 miles",United States,Reefer Trucks,International MV607,https://www.mascus.com/transportation/temperature-controlled-trucks/international-mv607/7jeidu8l.html
